player_nr,player,wins,losses,total,score_median,score_q25,score_q75,score_lower,score_upper,gamma_High,gamma_Low,gamma_Medium,gamma_Other
20,Örvar,48,27,75,1594,1564,1625,1523,1677,-0.0578220215,0.184569185,-0.0650782315,-0.06353311
4,Aron Freyr,61,35,96,1568,1540,1596,1495,1642,0.010870406999999999,-0.13442326500000001,0.0470818805,0.076174519
8,Diddi,71,50,121,1559,1535,1586,1500,1634,0.23831776999999998,-0.27403334,0.026906399499999997,0.00665532525
12,Tommi,62,49,111,1555,1529,1582,1485,1625,-0.023298885,0.1146901,-0.13851399,0.045452308
23,Victor,16,9,25,1543,1508,1582,1454,1650,-0.122382985,0.062544895,0.093326771,-0.0299698385
1,Binni,44,36,80,1538,1512,1566,1471,1611,0.11885868499999999,-0.0124611355,-0.191941615,0.086613878
15,Arnar,14,9,23,1538,1502,1577,1443,1644,-0.025369654,0.0226207535,-0.0223475975,0.023324473
2,Einar,45,39,84,1534,1507,1565,1470,1621,-0.208530405,-0.047822566,0.18949245,0.067078654
3,Ingvi,33,32,65,1522,1493,1554,1449,1608,0.065748575,-0.016496463000000003,-0.034388247,-0.0176681155
19,Siggi,13,11,24,1518,1484,1553,1425,1617,-0.013431905000000001,-0.01497853,0.031309157000000004,-0.00476382765
6,Aron Ívars,27,29,56,1516,1487,1548,1442,1603,0.15563124,0.050349081500000004,-0.192806125,-0.0118148995
28,Gunnar,10,8,18,1516,1481,1554,1422,1620,-0.061144963499999996,0.0307295155,0.043367256500000007,-0.010943384
30,Steinar,9,6,15,1515,1479,1554,1418,1620,-0.015942559000000002,0.015919212000000002,-0.014039559,0.013552495
9,Hjalti,28,27,55,1513,1482,1543,1431,1590,0.0018007150499999998,-0.0101223465,0.0058829183,0.0057513445
18,Daníel,27,25,52,1511,1483,1542,1438,1591,-0.016864867,0.14635465,-0.10336822500000001,-0.022589711
13,Anna,22,23,45,1505,1474,1535,1417,1587,-0.057506063999999996,-0.0658169475,0.14124462,-0.016021235
17,Sara,3,3,6,1500,1459,1541,1389,1611,0.0049888044,5.6934411e-4,-0.00211142715,-5.763818400000001e-4
14,Andreas,6,7,13,1498,1462,1537,1402,1604,7.4760707e-4,-0.081512977,-0.0053443731,0.0809742285
21,Einar Logi,1,2,3,1493,1451,1534,1375,1607,0.00863957765,0.00521588645,-0.0121770985,0.005225136050000001
32,Atli,7,8,15,1493,1456,1530,1397,1587,0.00328373765,0.0020467173500000003,-0.01279892,0.011799835
22,Regína,2,4,6,1492,1451,1533,1379,1602,0.0076382082,-0.0159827765,0.00589372895,0.0063292503
5,Aron Elvar,21,27,48,1489,1460,1518,1413,1563,0.054350002,-0.019013115,-0.172315155,0.13803179999999998
31,Sölvi,3,5,8,1488,1447,1528,1376,1592,0.00976200605,0.009147155550000001,0.01066943,-0.027380691
10,Styrmir,11,15,26,1482,1446,1515,1383,1571,-3.59610225e-4,0.009949764449999999,0.063388388,-0.07392209150000001
24,Ólafur,14,22,36,1465,1430,1498,1372,1550,-0.0062121494,0.010492135999999999,0.029045230999999998,-0.0333950895
29,Magnús,5,9,14,1459,1417,1496,1346,1553,0.033691439000000004,-0.041559132,0.033682449,-0.0308199285
26,Bóas,5,9,14,1457,1415,1495,1343,1551,-0.0501319635,-0.0296281215,0.035746656,0.048123571500000004
7,Luna,12,22,34,1455,1418,1487,1346,1533,-0.07387684350000001,0.11774979999999999,-0.043725734,-0.00167827905
27,Hrappur,13,24,37,1441,1407,1473,1348,1522,0.054346344000000005,0.056497348,-0.0072450063000000006,-0.10463707
11,Oddur,32,57,89,1432,1401,1459,1348,1497,0.0390051535,-0.0670073715,0.269398335,-0.246914915
16,Aron Gauti,24,47,71,1423,1392,1453,1344,1497,-0.15513975000000002,0.09692941050000001,0.056674276499999995,0.00479190655
25,Ísleifur,2,17,19,1392,1342,1436,1260,1490,0.0910802745,-0.115498035,-0.0620921415,0.086785647
